--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
040.502  000.064  000.064: require('fidget.poll')
040.504  000.133  000.069: require('fidget.notification.model')
040.612  000.107  000.107: require('fidget.notification.window')
040.679  000.066  000.066: require('fidget.notification.view')
040.719  000.409  000.103: require('fidget.notification')
040.720  000.480  000.071: require('fidget.progress.handle')
040.762  002.823  000.108: require('fidget.progress')
040.941  000.178  000.178: require('fidget.commands')
041.079  000.083  000.083: require('fidget.integration.nvim-tree')
041.170  000.090  000.090: require('fidget.integration.xcodebuild-nvim')
041.231  000.289  000.116: require('fidget.integration')
041.234  003.466  000.176: require('fidget')
043.550  000.076  000.076: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
043.965  000.088  000.088: require('cmp_nvim_lsp.source')
043.967  000.349  000.262: require('cmp_nvim_lsp')
044.597  000.266  000.266: require('lspconfig.util')
044.675  000.077  000.077: require('lspconfig.async')
044.676  000.429  000.086: require('lspconfig.configs')
044.678  000.512  000.083: require('lspconfig')
044.777  000.089  000.089: require('lspconfig.server_configurations.omnisharp')
044.986  000.092  000.092: require('lspconfig.manager')
045.295  000.077  000.077: require('mason-lspconfig.settings')
045.298  000.162  000.086: require('mason-lspconfig')
045.870  000.070  000.070: require('mason-core.functional.table')
045.873  000.394  000.324: require('mason-nvim-dap.mappings.source')
046.016  000.063  000.063: require('mason-lspconfig.notify')
046.018  000.136  000.073: require('mason-lspconfig.lspconfig_hook')
046.133  000.114  000.114: require('mason-lspconfig.mappings.server')
046.217  000.082  000.082: require('mason-lspconfig.server_config_extensions')
046.568  000.075  000.075: require('mason-core.functional.number')
046.578  000.164  000.089: require('mason-lspconfig.api.command')
046.838  000.082  000.082: require('lspconfig.server_configurations.golangci_lint_ls')
047.989  000.223  000.223: require('mason-lspconfig.server_configurations.omnisharp')
048.497  000.257  000.257: require('lspconfig.server_configurations.sqlls')
049.100  000.137  000.137: require('lspconfig.server_configurations.ts_ls')
050.113  000.287  000.287: require('lspconfig.server_configurations.bashls')
050.673  000.077  000.077: require('lspconfig.server_configurations.tflint')
051.084  000.068  000.068: require('lspconfig.server_configurations.jsonls')
051.506  000.065  000.065: require('lspconfig.server_configurations.taplo')
051.866  000.065  000.065: require('lspconfig.server_configurations.rust_analyzer')
052.212  000.066  000.066: require('lspconfig.server_configurations.pyright')
052.578  000.066  000.066: require('lspconfig.server_configurations.terraformls')
053.028  000.195  000.195: require('lspconfig.server_configurations.lua_ls')
053.332  000.061  000.061: require('lspconfig.server_configurations.gopls')
053.660  000.058  000.058: require('lspconfig.server_configurations.harper_ls')
054.650  000.108  000.108: require('nvim-tmux-navigation.tmux_util')
054.657  000.311  000.203: require('nvim-tmux-navigation')
055.214  000.218  000.218: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/nvim-dap/plugin/dap.lua
055.353  000.129  000.129: require('mason-nvim-dap')
055.488  000.134  000.134: require('mason-nvim-dap.settings')
055.627  000.122  000.122: require('mason-nvim-dap.ensure_installed')
055.958  000.089  000.089: require('mason-core.result')
056.413  000.088  000.088: require('mason-core.process')
056.499  000.086  000.086: require('mason-core.spawn')
056.501  000.245  000.071: require('mason-core.managers.powershell')
056.563  000.061  000.061: require('mason.version')
056.564  000.606  000.299: require('mason-core.fetch')
056.628  000.063  000.063: require('mason-core.providers')
056.959  000.088  000.088: require('mason-core.purl')
056.964  000.274  000.186: require('mason-core.package')
057.288  000.078  000.078: require('mason-core.installer.registry.expr')
057.292  000.251  000.173: require('mason-core.installer.registry.link')
058.239  000.090  000.090: require('mason-core.receipt')
